mere,単に。ただ、単なる。,たんに。ただ、たんなる。
countless,数え切れないほどの、非常に多くの。,かぞえきれないほどの、ひじょうにおおくの。
rude,失礼な、無礼な。他人に対して配慮に欠ける態度。,しつれいな、ぶれいな。たにんにたいしてはいりょにかけるたいど。
vaccine,予防接種用のワクチン,よぼうせっしゅようのわくちん
latter,後者の、後半の。二つのうちの後ろのもの。,こうしゃの、こうはんの。ふたつのうちのうしろのもの。
protest,抗議する、反対運動,こうぎする、はんたいうんどう
accuse,責任を追及する。,せきにんをついきゅうする。
solution,問題を解決する方法や答え,もんだいをかいけつするほうほうやこたえ
residential,住居用の地域または建物。,じゅうきょようのちいきまたはたてもの。
laundry,洗濯をする場所や洗濯物。,せんたくをするばしょやせんたくもの。
suburban,郊外の、地方の,こうがいの、ちほうの
nominee,指名された候補者、推薦者,しめいされたこうほしゃ、すいせんしゃ
lively,活気があふれる様子。,かっきがあふれるようす。
erect,直立の、垂直に立っている。,ちょくりつの、すいちょくにたっている。
burden,負担、重荷、責任,ふたん、おもに、せきにん
automated,自動化した、機械化された。人の手を介さずに動作するように設定されたもの。,じどうかした、きかいかされた。にんのてをかいさずにどうさするようにせっていされたもの。
fatal,致命的な、運命的な,ちめいてきな、うんめいてきな
regards,何かを特定の方法で考える、または敬意を込めた言葉。,なにかをとくていのほうほうでかんがえる、またはけいいをこめたことば。
atomic,原子に関するもの。,げんしにかんするもの。
affection,深い愛情や好意。,ふかいあいじょうやこうい。
deficit,赤字、不足、欠損,あかじ、ふそく、けっそん
invest,投資する、資金を投じる。将来のリターンを期待して資金を使うこと。,とうしする、しきんをとうじる。しょうらいのりたーんをきたいしてしきんをつかうこと。
journal,雑誌、日記、専門誌,ざっし、にっき、せんもんし
multilateral agreement,多国間協定。複数の国家間で結ばれる合意や条約。,たこくかんきょうてい。ふくすうのこっかかんでむすばれるごういやじょうやく。
hostile,敵対的な、非友好的な,てきたいてきな、ひゆうこうてきな
entity,存在するものの総称。,そんざいするもののそうしょう。
ritual,定期的な儀式行為。,ていきてきなぎしきこうい。
ruin,価値を台無しに。,かちをだいなしに。
stubborn,頑固で考えを曲げない様子。,がんこでかんがえをまげないようす。
member,会員。ある団体に属している人。,かいいん。あるだんたいにぞくしているにん。
fare,交通手段の料金。,こうつうしゅだんのりょうきん。
devise,アイデアを考案。,あいであをこうあん。
vent,通気口、換気口,つうきこう、かんきくち
perk,特典、元気になる,とくてん、げんきになる
conceal,隠す、秘密にする,かくす、ひみつにする
assigned,仕事などを割り当てられた,しごとなどをわりあてられた
observation,物事を観察する行為。,ものごとをかんさつするこうい。
anniversary,～周年、記念日。,~しゅうねん、きねんび。
coworker,一緒に働く同僚・仲間,いっしょにはたらくどうりょう・なかま
scent,特定の香りや匂いのこと。,とくていのかおりやにおいのこと。
clarity,明快さ、理解しやすさ。,めいかいさ、りかいしやすさ。
performed,実行した、演じた。タスクや演技を行うこと。,じっこうした、えんじた。たすくやえんぎをおこなうこと。
behave,行動する、振る舞う,こうどうする、ふるまう
exercise,運動や訓練を行う。,うんどうやくんれんをおこなう。
optics,光学、光の性質や行動を研究する学問。,こうがく、ひかりのせいしつやこうどうをけんきゅうするがくもん。
takeover,買収、乗っ取り,ばいしゅう、のっとり
