thousand,千、千の
diligently,精を出して
go out,外出する
gesticulate,身振り手振りで話す
detail,小さな要素や細かな部分に関する情報。
sculpture,彫刻、彫刻作品
arrest,法的手続きに基づく拘束。
responsible,責任のある。行動や結果に対して義務や責任を持つことを意味します。
enforce,を実行する、実施する
discipline,規律、訓練、学問分野
element,要素、構成部分
primary election,予備選挙
idiosyncratic,特異な
ashtray,灰皿
chair,椅子
sling,つり縄、つり紐
engender,醸し出す
discomfiture,挫折
empire,帝国、王国
diplomat,外交官、外交使節
beggar,乞食、物乞い
militant,好戦的な、攻撃的な
consolation,慰め、励まし
pedestrian,歩行者、徒歩の
global,地球の、世界の
bundle,束ねたもの、まとめた荷物
day,日
apple of one's eye,とても大切な人や物
crazy,気の狂った
obstacle,前進を妨げるもの。
Collect moments not things.,物よりも、かけがえのない瞬間を集めよう。
noun,名詞、単語
creature,生き物、生物
stand up to,に抵抗する、耐える、反抗する
stead,代わり
microwave,電子レンジ。短時間で食べ物を加熱するために使う電化製品を指します。
tenacious,粘り強い
legitimacy,合法、正当性
vigor,活力、精力、体力
easygoing,楽観的な
supplier,物資やサービスの供給業者
propose,を提案する、申し出る
because,なぜなら。理由を説明する際に使う接続詞。
stick up for,を支持する、を弁護する、を擁護する
put up with,我慢する、耐える
reflect,反映する、熟考する、映す
keep,を保つ
biryani,香辛料入りの米料理
wrath,激怒、怒り狂う
blueberry,ブルーベリー
accurately,正確に、精密に。間違いや誤差のない方法で。
lullaby,子守歌
amplitude,広さ、振幅
chronicle,歴史的出来事を記録。
quiver,小刻みに揺れる、震える
permission,許可、承認。何かを行うための公式な認可や同意。
even out,平らになる、安定する
welter,転がりまわる
in doubt,疑って、迷って
send out for,お使いに出す、出前を頼む
pious,信心深い
heal,治す、癒す、回復する
crescent,三日月の形状。
lackluster,無気力な、平凡な
come along,一緒に行く、共に進む
eventually,最終的に。長い時間がかかっても最終的に到達する状態を指します。
memory,記憶
security,安心、安全、治安。安全な状態、または安全に関する対策。
govern,統治する、支配する
port,港
directory,名簿。人、組織、または情報のリストを体系的に整理した本や資料。
historian,歴史家、史学者
evasion,回避・避ける
sum,数の合計を求める。
step,足元の移動段階。
textile,織物や布地に関連する。
instill,注入する、打ち込む
feed,食物を与える行為。
vacate,退去する、空ける
carve up,切り分ける、分割する
starve,何も食べずに飢える。
dependent,依存している、頼っている
do an injustice to,誤解する、価値を見誤る
good afternoon,こんにちは(昼)
lord,貴族、領主、支配者
jingle,リンリン鳴らす
mentioned,言及した、述べた、引き合いに出した
summarize,まとめる、要約すること。
fog,視界をさえぎるような霧、霞。
instructive,有益な、教育的な
mature,成熟した、大人の
on duty,勤務時間中で、当番の
artwork,芸術作品、アート作品。
torture,を拷問にかける
be indifferent to,に無関心である
cajole,なだめる、ごまかす
wand,杖
leash,リード、束縛するもの
eyelash,まつげ
confine A to B,AをBだけに限定する
bicycle,自転車
drum up,呼び集める、募集する
civil rights,公民権、市民権、市民の権利
obligate,義務づける、強制する
directive,指示的な
sensation,感覚、センセーション
falafel,ひよこ豆の揚げボール
proportional,均整の取れた、比例の
probe,探り針
sports psychologist,スポーツ心理学者
laudable,称賛に値する
groan,うめき声、苦悩の声
fine,元気な、晴れた
interrupt,中断させる、邪魔をすること。
impervious,通さない
amplify,を拡大する、増大する
democratic,民主主義の、民主的な性質
surprise,驚かせる、予想外の出来事。
newly,新たに、最近
ark,箱舟、ノアの方舟
listen to,聴く
discomfort,不快感、違和感
manly,男らしい
tightly,しっかりと固定された状態。
roof,屋根
call back,折り返し電話する
conspiracy,陰謀、秘密の計画。
comparable,他と比べられる、同等の基準を持つ。
endow,寄付する、寄付を送る
prop,支柱、支え
lament,を嘆く、嘆き悲しむ
explore,詳細に調査する行為。
leisurely,のんびりした、ゆったりした
supervise,監督する、指導する。部下や作業の進行を管理すること。
lay out,並べる
fact,客観的な事実や真実。
feminine,女性らしい
blare,鳴り響かせる
questionnaire,アンケート、調査票
intersection,交差点、交差
forgery,偽造
swallow,を飲み込む、嚥下する
shell out,支払う、大金を払う
employment,雇用、就職。仕事に就くこと、または雇用状態。
proficient,熟練した、上手な
populous,人口の多い
defunct,消滅した
cut off,を断つ、切る
fall behind,遅れる、追い越される
steel city,鋼鉄の街(ピッツバーグ)
best,一番良い
solar,太陽、太陽の
proffer,差し出す、提供する、出す
criticize,を批評する、を評価する
assassinate,を暗殺する
spit,唾を吐く、串刺しにする
trite,ありふれた
take into account,を考慮に入れる
with all,にも関わらず、尽力しても
she,彼女は
have access to,を利用できる、を利用可能
trudge,とぼとぼ歩く、のろのろ歩く
drum,太鼓
obligation,義務、責任のあること。
by land,陸路で
compare A with B,AをBと比較する
on demand,要求に応じて、要求があり次第
not by any means,全くない
appraisal,評価、査定、鑑定
table,机
catastrophic,破滅的な、壊滅的な
naval,海軍の、海軍のもの
lend,他者に物を貸す行為。
procedural,手続きの、手順の
permissible,許容できる、認められる
affirm,を断言する、明言する
amend,を修正する、改良する
east,東
variable,変数、変化する要素
by contract,契約で、契約上の
oracle,神のお告げ、神託
pensive,物思いに沈んだ
crowded,混雑した。人や物が一か所に集まり過ぎている状態を意味します。
adapt,適応する、環境に合わせること。
patience,辛抱強さ、忍耐力
erupt,噴火する
secondhand,中古の
pellet,小粒
no doubt,間違いなく
representative,代表者、または代弁者。組織や集団を代表して発言や行動する人を指します。
quantity,数、数量。物事の量や程度を表す数値的な尺度。
incursion,侵入
sigh,ため息をつく、溜め息をつく
douse,ずぶぬれにする
impair,を損なう、弱める
revolutionary,革命的な、画期的な変化をもたらす
small,小さい
jockey for position,位置を取り合う、競争する
ameliorate,改善する
out of nowhere,いきなり、突然に、予告なく
abuse,乱用、悪用
spore,胞子
bilingual,二ヶ国語話者、バイリンガル
conjure,唱えて呼ぶ、呼びかける
wheeze,息を切らす
segregate,を分離する、隔離する
pageant,壮観
be familiar with,に馴染みがある
between you and me,ここだけの話
mischief,いたずら、悪戯をすること
elderly,高齢の、年配の。一定年齢以上の人々を指す表現。
sober,酒を飲んでいない
valuable,貴重な、大切な。高い価値があるとみなされるものや人を指します。
pebble,小石、石ころ
fusion,二つ以上が合体すること。
chant,単調な歌、一本調子の歌
in vain,無駄に、軽々しく
rigid,堅い
inferior,劣った、下位の
surround,を取り囲む、を包囲する
release,解放する、公開する、発売する
removal,何かを取り除くこと。
disturbance,妨害、混乱
recipe,料理の作り方
congregate,集まる
